track_spotifyID,artist_spotifyID,artist_mbid,artist_name,track_url,track_popularity,track_duration_ms,track_is_local,albumID,album_track_number,album_release_date,album_type
78QR3Wp35dqAhFEc2qAGjE,2hlmm7s2ICUX0LVIhVFlZQ,100b8734-f4f0-4536-9960-47f7c59d1b4c,Gunna,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,83,145542,False,2yXnY2NiaZk9QiJJittS81,12,2018-10-05,album
43ay9lQZ5rfNcOOHhRF2cM,5F1aoppMtU3OMiltO8ymJ2,7f378f19-4686-41aa-b83e-3df359ae1578,Hugh Jackman,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM,60,302146,False,09w7mJRYa15Uk7rtM26QfZ,1,2017-10-27,single
43ay9lQZ5rfNcOOHhRF2cM,7HV2RI2qNug4EcQqLbCAKS,ad4653bc-ad04-4a41-a6cc-477ebe5cd96c,Keala Settle,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM,60,302146,False,09w7mJRYa15Uk7rtM26QfZ,1,2017-10-27,single
43ay9lQZ5rfNcOOHhRF2cM,6U1dBXJhC8gXFjamvFTmHg,b25c6c3f-3861-4687-be1d-3c8d238cfb34,Zac Efron,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM,60,302146,False,09w7mJRYa15Uk7rtM26QfZ,1,2017-10-27,single
43ay9lQZ5rfNcOOHhRF2cM,6sCbFbEjbYepqswM1vWjjs,,Zendaya,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM,60,302146,False,09w7mJRYa15Uk7rtM26QfZ,1,2017-10-27,single
43ay9lQZ5rfNcOOHhRF2cM,63nv0hWWDob56Rk8GlNpN8,,The Greatest Showman Ensemble,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM,60,302146,False,09w7mJRYa15Uk7rtM26QfZ,1,2017-10-27,single
4hGsbyf3p0U5mlJTJwiUTq,4Xi6LSfFqv26XgP9NKN26U,b8638bdc-728d-4d43-a908-7be7db29073b,AJ Tracey,https://open.spotify.com/track/4hGsbyf3p0U5mlJTJwiUTq,65,224000,False,0vrKGjXSGcTsxNGxQdXT5p,8,2019-02-08,album
4hGsbyf3p0U5mlJTJwiUTq,40NRiKuuhj1pgGYppptlBO,,Not3s,https://open.spotify.com/track/4hGsbyf3p0U5mlJTJwiUTq,65,224000,False,0vrKGjXSGcTsxNGxQdXT5p,8,2019-02-08,album
42bbDWZ8WmXTH7PkYAlGLu,2ysnwxxNtSgbb9t1m2Ur4j,2c5e2a98-d9ea-46b5-9618-d9bb4863a920,George Ezra,https://open.spotify.com/track/42bbDWZ8WmXTH7PkYAlGLu,73,211763,False,2NaulYO6lGXTyIzWTJvRJj,8,2018-03-23,album
4M8x1TR36VMQMFMbGCdoyA,1yqxFtPHKcGcv6SXZNdyT9,4545675e-4006-4271-8e82-703cae7e1748,MK,https://open.spotify.com/track/4M8x1TR36VMQMFMbGCdoyA,70,196214,False,2WqGsuxmIREkcArxbp5IK0,1,2018-09-07,single
